#Code,Name,Lat,Lon,Date Interval
TFS_min,TBILISI,42.09,44.71,1990-01-01 - 1990-12-31
TEO_min,TEOLOYUCAN,19.75,-99.18,2002-08-01 - 2008-04-30
THL_min,THULE,76.53,-68.89,1975-01-01 - 2009-01-31
THY_min,TIHANY,46.9,17.89,1991-01-01 - 2011-12-31
TIK_min,TIXIE BAY,71.58,129,1976-01-01 - 2003-12-31
TND_min,TONDANO,1.293,124.925,2001-05-01 - 2003-12-31
TRW_min,TRELEW,-43.25,-65.31,1993-09-01 - 2009-01-31
TRO_min,TROMSO,69.66,18.95,1988-01-01 - 2004-12-31
TSU_min,TSUMEB,-19.22,17.7,1992-03-01 - 2008-11-30
TUC_min,TUCSON,32.25,-110.83,1979-03-01 - 2010-12-31
UPS_min,UPPSALA (FIBY),50.903,17.353,2003-01-01 - 2008-12-31
VAL_min,VALENTIA,51.93,-10.25,1991-01-01 - 2009-01-31
VSS_min,VASSOURAS,-22.4,-43.65,1998-10-01 - 2007-12-31
VIC_min,VICTORIA,48.52,-123.42,1978-01-01 - 2012-12-31
VIZ_min,VIZ,79.479,76.98,1998-01-01 - 2003-12-31
VOS_min,VOSTOK,-78.45,106.87,1992-01-01 - 2003-02-28
VYZ_min,VYZ,79.479,76.98,1999-01-01 - 2001-04-30
WEP_min,WEIPA,-12.679,141.88,1997-05-01 - 1997-05-31
WNG_min,WINGST,53.74,9.07,1981-01-01 - 2012-12-31
YAK_min,YAKUTSK,62.02,129.72,1990-01-01 - 1990-12-31
YEL_min,YELLOWKNIFE (YEL),62.43,-114.5,2002-01-01 - 2003-06-30
YKC_min,YELLOWKNIFE (YKC),62.4,-114.5,1975-01-01 - 2012-12-31
